Date,Open,High,Low,Close,Volume
2016-10-04,128.31,128.55,127.31,128.11,910346
2016-10-05,128.35,128.68,126.74,127.09,995010
2016-10-06,127.04,127.61,126.56,126.9,624338
2016-10-07,127.45,128.16,126.9,127.23,670283
2016-10-10,127.27,128.0,127.14,127.73,565983
2016-10-11,127.34,127.34,124.98,125.0,1085518
2016-10-12,125.1,125.75,121.31,121.96,2546147
2016-10-13,121.57,122.48,120.09,121.16,1194925
2016-10-14,121.56,122.25,120.68,120.9,570185
2016-10-17,120.63,120.9,116.3,118.64,1943938
2016-10-18,120.0,124.67,119.5,123.65,1640757
2016-10-19,123.65,123.98,122.51,123.55,1295742
2016-10-20,123.97,124.81,123.36,123.63,854352
2016-10-21,122.9,124.32,122.57,124.18,639700
2016-10-24,124.45,124.7,123.3,124.06,796185
2016-10-25,123.6,124.89,123.53,124.3,947682
2016-10-26,124.38,124.76,123.72,123.8,1117869
2016-10-27,124.16,124.72,122.4,123.06,739086
2016-10-28,123.16,123.63,121.18,121.62,1229628
2016-10-31,121.8,122.5,118.83,118.83,1414612
2016-11-01,119.55,120.84,115.03,116.03,1728572
2016-11-02,115.59,118.14,115.45,117.85,1828729
2016-11-03,119.5,123.33,117.23,117.31,2321020
2016-11-04,117.74,122.8,117.11,121.65,1735413
2016-11-07,122.57,126.92,122.35,126.25,1811859
2016-11-08,125.52,130.24,125.41,128.77,1386156
2016-11-09,127.46,136.77,124.48,135.8,2847457
2016-11-10,136.09,138.51,133.01,134.77,2572402
2016-11-11,134.62,136.42,131.89,133.67,1187202
2016-11-14,134.23,138.78,133.1,136.12,2048661
2016-11-15,136.08,138.66,134.29,137.8,1082972
2016-11-16,137.93,138.72,136.55,137.89,1049127
2016-11-17,137.23,140.2,136.26,140.0,1146271
2016-11-18,139.62,142.0,136.73,138.7,1172966
2016-11-21,138.13,139.95,136.04,137.08,1077588
2016-11-22,137.35,140.77,136.72,139.73,1458412
2016-11-23,139.7,140.5,136.81,139.53,843153
2016-11-25,139.88,141.48,138.53,138.67,306591
2016-11-28,138.83,139.34,136.2,136.77,1193539
2016-11-29,136.77,139.95,136.77,138.3,1391714
2016-11-30,137.96,138.05,134.53,134.74,2099674
2016-12-01,134.17,136.92,134.17,134.5,1638545
2016-12-02,135.08,135.95,132.63,133.44,1386371
2016-12-05,133.65,135.45,131.65,134.7,1085657
2016-12-06,135.51,137.74,134.13,137.25,1121753
2016-12-07,136.88,137.52,135.81,136.83,1694289
2016-12-08,136.51,138.57,135.1,137.13,1118893
2016-12-09,137.17,137.94,133.87,134.8,1417420
2016-12-12,134.03,134.4,131.03,132.38,1169470
2016-12-13,132.91,135.82,131.52,134.57,1296816
2016-12-14,135.23,135.84,132.31,133.24,879731
2016-12-15,133.19,134.56,131.26,133.99,921429
2016-12-16,134.86,137.7,134.85,136.76,2759505
2016-12-19,137.59,139.0,136.84,138.09,1214145
2016-12-20,138.1,139.74,136.55,137.11,1108093
2016-12-21,137.43,137.43,135.87,137.07,727858
2016-12-22,136.9,137.5,135.46,136.97,1097630
2016-12-23,137.43,138.64,136.45,138.61,431989
2016-12-27,138.26,140.7,138.26,139.39,481184
2016-12-28,139.61,140.3,137.0,137.0,828445
2016-12-29,137.54,138.68,135.19,135.5,641829
2016-12-30,135.57,135.89,133.11,133.39,1199702
2017-01-03,133.91,135.83,133.66,135.72,1443077
2017-01-04,136.08,138.89,133.7,138.72,1207766
2017-01-05,139.08,142.77,138.33,141.71,1446708
2017-01-06,141.0,143.15,140.99,141.81,983705
