Date,Open,High,Low,Close,Volume
2016-10-04,136.78,136.78,133.77,134.72,1077200
2016-10-05,136.73,139.95,136.44,139.48,1220599
2016-10-06,139.48,140.21,137.45,139.49,784022
2016-10-07,139.84,140.1,137.45,138.57,669575
2016-10-10,139.98,142.07,139.89,141.16,749785
2016-10-11,140.78,141.41,138.55,139.16,708557
2016-10-12,137.99,140.44,137.3,139.8,680050
2016-10-13,138.49,139.82,136.53,139.05,718414
2016-10-14,139.35,139.98,136.5,137.58,754370
2016-10-17,137.72,139.33,136.07,137.47,644576
2016-10-18,138.9,139.8,136.34,136.93,568064
2016-10-19,138.8,142.2,138.44,140.3,1305678
2016-10-20,138.44,140.5,137.42,138.62,966575
2016-10-21,137.32,138.89,136.21,137.15,606733
2016-10-24,137.33,138.2,134.4,135.72,753784
2016-10-25,135.46,137.4,133.58,133.9,799833
2016-10-26,131.91,133.88,130.6,133.72,798735
2016-10-27,134.69,135.28,132.94,133.1,592479
2016-10-28,133.03,135.92,130.86,131.01,591087
2016-10-31,130.04,131.46,128.83,129.13,952225
2016-11-01,130.62,132.23,128.37,130.29,1163047
2016-11-02,128.5,129.36,125.0,128.33,1458921
2016-11-03,124.8,127.94,118.59,121.53,3536962
2016-11-04,121.27,123.67,119.18,120.11,1659245
2016-11-07,123.71,123.71,120.34,122.39,1281099
2016-11-08,121.7,122.38,119.11,120.69,1206719
2016-11-09,121.85,126.92,119.98,125.7,1435305
2016-11-10,124.0,126.98,122.8,125.31,975490
2016-11-11,123.78,124.81,120.5,124.51,1185857
2016-11-14,124.1,125.25,121.8,125.03,898650
2016-11-15,127.01,130.49,126.94,128.84,809115
2016-11-16,128.43,130.01,126.63,128.43,659568
2016-11-17,129.96,130.99,125.09,125.79,997280
2016-11-18,126.23,127.64,124.46,125.66,779482
2016-11-21,128.94,130.22,128.01,129.16,780194
2016-11-22,129.4,130.45,127.52,129.75,880023
2016-11-23,128.48,130.51,128.36,129.71,505184
2016-11-25,128.59,129.39,126.92,128.0,426127
2016-11-28,128.89,129.8,123.48,123.82,1171187
2016-11-29,120.46,126.81,119.77,123.99,1610062
2016-11-30,132.67,139.46,132.56,137.88,1698809
2016-12-01,141.06,141.84,137.18,137.51,1114359
2016-12-02,136.72,140.15,136.43,139.08,901897
2016-12-05,140.55,143.74,139.91,141.06,1207784
2016-12-06,139.82,144.13,139.26,143.25,1197343
2016-12-07,142.6,143.48,140.7,142.61,947853
2016-12-08,143.73,145.53,140.26,142.66,935917
2016-12-09,143.96,144.4,140.98,141.59,730256
2016-12-12,146.61,146.96,140.31,140.87,1008925
2016-12-13,142.0,143.47,139.92,142.05,767690
2016-12-14,140.27,142.47,136.8,137.08,934229
2016-12-15,136.81,138.53,135.57,137.28,772502
2016-12-16,137.5,138.2,136.36,137.5,943003
2016-12-19,137.66,138.68,136.99,137.59,528593
2016-12-20,138.5,138.89,135.96,136.15,527745
2016-12-21,137.33,138.02,135.58,135.93,511737
2016-12-22,136.33,137.76,135.81,136.77,389129
2016-12-23,136.51,137.33,135.26,135.72,302255
2016-12-27,136.4,137.56,135.94,136.71,389878
2016-12-28,137.0,137.35,135.56,136.44,442717
2016-12-29,136.08,137.0,135.1,136.32,368383
2016-12-30,136.52,137.56,135.31,135.9,466121
2017-01-03,137.53,139.73,136.56,138.79,1196779
2017-01-04,138.48,139.35,136.56,138.5,589294
2017-01-05,138.5,141.58,138.29,140.11,1203075
2017-01-06,140.36,141.13,138.88,140.01,640745
2017-01-09,138.43,140.53,137.66,139.36,855981
2017-01-10,140.01,141.82,139.25,141.34,963798
2017-01-11,142.0,144.15,140.47,142.47,1247296
2017-01-12,144.16,144.3,137.96,138.84,1134571
2017-01-13,138.55,140.04,137.24,139.65,839319
2017-01-17,140.48,141.45,137.63,138.94,787781
2017-01-18,137.83,139.7,137.24,138.34,676528
2017-01-19,138.21,139.59,137.55,138.54,548446
2017-01-20,140.17,140.96,137.41,137.98,771040
2017-01-23,137.23,138.72,136.42,137.18,703787
2017-01-24,138.56,139.3,137.16,138.3,584515
2017-01-25,138.09,139.98,137.22,139.92,915113
2017-01-26,140.97,142.88,140.32,141.16,1141014
2017-01-27,140.8,141.28,138.1,139.45,672088
2017-01-30,138.31,138.31,133.5,134.98,991536
2017-01-31,135.18,135.39,133.63,135.21,830005
2017-02-01,136.13,136.22,132.04,133.5,1278378
2017-02-02,133.88,134.1,131.51,132.62,1043766
2017-02-03,132.9,135.06,131.62,134.87,1135357
2017-02-06,135.82,136.22,130.94,131.2,1131233
2017-02-07,129.66,129.86,126.11,127.38,2061256
2017-02-08,126.18,127.7,122.51,127.19,2355626
2017-02-09,127.83,130.19,127.83,129.64,1249178
2017-02-10,131.07,133.03,130.72,131.68,1273779
2017-02-13,131.57,133.53,130.78,132.73,1182612
2017-02-14,133.1,136.31,131.6,136.25,1383906
2017-02-15,135.87,136.15,133.33,134.36,1997984
2017-02-16,133.5,135.04,130.77,133.06,2632586
2017-02-17,133.0,134.09,131.31,132.02,1061346
2017-02-21,133.78,133.81,130.5,130.7,1460297
2017-02-22,129.41,130.57,128.15,128.3,1816160
2017-02-23,130.71,130.71,125.7,127.58,894668
2017-02-24,126.34,127.64,125.49,126.03,894792
2017-02-27,127.07,127.52,125.6,125.98,1015898
2017-02-28,125.37,126.4,124.63,125.72,872789
2017-03-01,127.3,128.98,126.7,128.45,925270
2017-03-02,127.05,127.7,124.79,124.97,804595
2017-03-03,125.38,126.94,124.99,125.61,605519
2017-03-06,125.27,126.5,124.77,125.34,848314
2017-03-07,125.65,125.76,124.01,124.25,904057
2017-03-08,123.94,124.32,119.17,119.46,1291789
2017-03-09,118.8,121.11,118.1,120.91,1108116
2017-03-10,121.97,121.97,118.59,119.23,1193488
2017-03-13,118.91,120.72,118.85,120.59,751417
2017-03-14,118.95,121.37,117.19,120.88,1981779
2017-03-15,122.11,123.56,120.85,123.0,1435735
2017-03-16,123.0,123.29,120.72,121.05,920365
2017-03-17,121.68,122.45,120.36,120.92,1012086
2017-03-20,119.86,120.69,118.68,120.13,847489
