Date,Open,High,Low,Close,Volume
2016-10-04,132.0,132.09,130.49,131.57,1068549
2016-10-05,131.38,132.64,130.89,131.96,700175
2016-10-06,131.82,132.64,131.12,132.09,767191
2016-10-07,132.31,132.63,131.0,131.06,855110
2016-10-10,131.94,132.57,130.99,131.02,423774
2016-10-11,130.52,131.42,128.17,128.73,575651
2016-10-12,129.03,130.95,128.73,129.89,681860
2016-10-13,128.94,128.95,127.35,127.91,540271
2016-10-14,128.69,129.2,127.98,128.37,548016
2016-10-17,128.65,128.65,126.32,127.09,564755
2016-10-18,128.55,129.29,127.57,128.01,505591
2016-10-19,128.46,129.43,127.88,128.76,436437
2016-10-20,127.38,128.63,126.24,127.48,555176
2016-10-21,126.34,127.25,126.04,126.79,496552
2016-10-24,127.33,128.24,127.12,127.29,312008
2016-10-25,127.09,127.09,125.67,126.45,415278
2016-10-26,126.13,126.92,125.36,126.11,478252
2016-10-27,126.65,127.16,125.46,125.63,417173
2016-10-28,125.89,126.72,124.52,125.65,445684
2016-10-31,126.26,126.82,125.02,125.9,459242
2016-11-01,126.52,126.86,123.87,124.33,475774
2016-11-02,124.49,124.64,122.7,122.97,693167
2016-11-03,123.12,125.04,121.81,123.67,736674
2016-11-04,120.24,120.24,112.76,116.78,3531237
2016-11-07,119.12,119.12,116.13,117.69,1345608
2016-11-08,117.13,119.51,116.34,118.79,967619
2016-11-09,117.01,119.23,116.07,118.0,1291790
2016-11-10,118.67,122.98,117.7,122.27,1524475
2016-11-11,121.55,121.96,120.84,121.48,754726
2016-11-14,120.96,122.6,120.04,122.49,1089329
2016-11-15,123.73,123.92,122.29,123.33,639722
2016-11-16,123.17,123.17,122.25,122.67,818436
2016-11-17,122.79,124.64,122.19,124.6,521148
2016-11-18,124.79,125.95,124.3,124.82,819819
2016-11-21,125.1,125.46,123.53,123.89,475912
2016-11-22,124.37,125.4,122.92,124.82,1011775
2016-11-23,124.82,125.55,123.67,124.56,380242
2016-11-25,124.55,125.42,123.95,125.3,284030
2016-11-28,124.82,125.19,123.21,124.37,439924
2016-11-29,124.76,124.84,123.82,124.38,353027
2016-11-30,125.5,126.0,124.12,124.37,676819
2016-12-01,125.1,125.37,120.89,121.42,898743
2016-12-02,121.43,121.56,119.7,119.94,855826
2016-12-05,120.69,122.06,120.18,121.48,604726
2016-12-06,121.48,124.92,121.33,124.76,1301703
2016-12-07,124.9,125.52,124.05,124.75,928334
2016-12-08,125.19,125.91,121.95,123.0,988462
2016-12-09,122.8,123.3,122.43,122.79,943404
2016-12-12,122.64,122.97,120.97,121.21,822498
2016-12-13,126.45,126.93,123.63,124.46,1168159
2016-12-14,124.0,124.89,122.02,122.26,846385
2016-12-15,122.8,123.23,121.76,122.37,826795
2016-12-16,122.44,123.37,121.7,122.33,1232676
2016-12-19,122.32,123.97,121.79,123.63,937570
2016-12-20,124.33,124.49,123.42,123.84,651499
2016-12-21,123.9,124.15,122.87,122.99,614568
2016-12-22,122.52,123.69,121.73,122.85,557208
2016-12-23,123.09,124.66,122.71,124.49,361940
2016-12-27,124.57,124.9,124.01,124.28,382911
2016-12-28,124.3,124.3,121.9,122.38,429932
2016-12-29,122.45,123.07,121.6,122.17,216639
2016-12-30,122.59,123.56,121.39,122.28,466387
2017-01-03,123.23,124.77,122.12,123.24,790122
2017-01-04,123.54,125.12,122.93,124.76,477168
2017-01-05,124.16,126.04,124.03,125.96,583637
2017-01-06,126.99,127.85,126.17,126.78,812195
2017-01-09,126.36,127.44,125.93,126.01,467811
2017-01-10,126.03,127.03,125.56,126.22,643716
2017-01-11,125.96,126.58,125.18,125.75,609579
2017-01-12,125.07,127.27,124.58,125.73,519350
2017-01-13,125.85,126.4,124.62,124.73,635252
2017-01-17,124.43,125.94,123.5,125.33,778925
2017-01-18,125.85,126.61,125.31,126.17,771643
2017-01-19,126.39,126.4,125.12,125.49,473086
2017-01-20,125.74,126.14,124.64,126.07,555848
2017-01-23,125.66,126.2,124.97,125.61,539375
2017-01-24,125.54,126.45,125.2,126.17,550867
2017-01-25,126.69,127.72,126.54,127.57,777237
2017-01-26,127.48,127.94,127.12,127.58,442791
2017-01-27,127.1,127.1,124.52,126.44,664592
2017-01-30,125.98,126.01,123.99,125.57,542309
