Date,Open,High,Low,Close,Volume
2016-10-04,77.6,78.42,77.12,77.24,8219372
2016-10-05,77.35,78.0,77.2,77.57,7910212
2016-10-06,77.38,77.76,76.08,76.21,10168169
2016-10-07,76.45,76.48,74.92,75.24,11149150
2016-10-10,75.5,75.97,75.26,75.49,7161123
2016-10-11,75.14,75.28,73.56,73.82,11909999
2016-10-12,74.18,74.2,72.92,73.03,10014543
2016-10-13,72.29,73.93,72.21,73.06,10586082
2016-10-14,73.27,73.5,72.73,72.75,7359055
2016-10-17,72.54,73.46,72.31,72.64,8181411
2016-10-18,73.4,73.83,72.91,73.41,6353498
2016-10-19,73.5,73.92,73.31,73.34,6326426
2016-10-20,73.14,74.81,73.1,74.31,10351438
2016-10-21,74.1,74.94,73.78,74.29,8256474
2016-10-24,74.51,74.78,73.74,74.15,7404026
2016-10-25,74.04,74.68,73.91,74.41,6140797
2016-10-26,74.51,75.8,74.26,75.38,8332957
2016-10-27,75.93,76.36,75.64,75.83,9596438
2016-10-28,74.75,74.78,73.23,73.88,13159961
2016-10-31,74.09,74.44,73.55,73.63,8457021
2016-11-01,73.63,74.29,73.06,74.07,10741636
2016-11-02,74.0,74.35,72.45,72.51,14619961
2016-11-03,72.33,72.93,71.68,71.76,9286221
2016-11-04,71.52,73.29,71.39,72.43,11779549
2016-11-07,73.48,74.71,73.05,74.0,9513489
2016-11-08,73.93,74.66,73.28,74.04,7449578
2016-11-09,76.8,80.0,76.75,78.47,26693678
2016-11-10,79.66,80.0,76.94,77.84,16651836
2016-11-11,77.48,77.51,75.29,76.42,12949556
2016-11-14,77.04,77.12,76.07,76.75,8832802
2016-11-15,77.03,77.11,75.0,76.35,8560108
2016-11-16,76.08,76.88,75.57,76.0,8414999
2016-11-17,75.72,76.02,74.85,75.58,9413492
2016-11-18,75.59,75.74,74.25,74.62,8194306
2016-11-21,74.66,75.19,74.45,74.98,6810556
2016-11-22,75.06,75.44,74.02,74.46,6019644
2016-11-23,73.84,75.35,73.76,75.3,6849189
2016-11-25,75.47,75.55,74.87,75.44,3068606
2016-11-28,75.3,75.44,74.22,74.54,9338882
2016-11-29,74.69,75.4,74.29,74.87,7160662
2016-11-30,75.0,75.08,73.59,73.7,10627256
2016-12-01,73.97,74.03,72.72,72.84,8270187
2016-12-02,73.04,73.6,72.16,72.42,9227901
2016-12-05,72.79,72.97,71.93,72.36,9985859
2016-12-06,72.67,72.67,71.95,72.47,8723896
2016-12-07,71.78,72.9,71.55,72.78,13061031
2016-12-08,72.46,72.6,70.83,72.02,12333522
2016-12-09,72.34,73.13,71.95,72.7,9936284
2016-12-12,72.56,73.68,72.13,73.47,9475901
2016-12-13,73.41,75.87,73.4,74.84,12692969
2016-12-14,74.86,76.32,74.86,75.71,11822755
2016-12-15,75.8,75.99,74.91,75.55,9448767
2016-12-16,74.43,74.96,73.94,74.1,14437460
2016-12-19,73.61,75.3,73.55,74.4,8212233
2016-12-20,74.51,74.63,73.43,74.05,8451975
2016-12-21,74.03,74.83,73.56,73.96,7018656
2016-12-22,73.68,73.75,72.92,73.3,8413820
2016-12-23,73.3,73.89,73.22,73.64,5307649
2016-12-27,73.52,74.8,73.51,73.73,6632942
2016-12-28,73.61,73.7,72.62,72.77,6387643
2016-12-29,72.77,72.85,71.94,72.13,7533582
2016-12-30,72.03,72.26,71.3,71.61,9220862
2017-01-03,72.34,74.23,72.18,74.16,10953724
2017-01-04,74.53,76.98,74.38,76.38,14914161
2017-01-05,76.84,76.85,75.57,76.01,9413125
2017-01-06,76.45,76.5,75.41,75.49,8979989
2017-01-09,75.93,76.09,75.27,75.84,10165306
2017-01-10,76.46,76.5,74.93,75.01,8869808
2017-01-11,75.52,75.55,73.01,73.77,14165686
2017-01-12,73.53,73.68,72.93,73.36,7057690
2017-01-13,73.63,73.78,73.0,73.07,8269090
2017-01-17,72.92,72.92,71.73,71.91,11706566
2017-01-18,72.24,72.47,71.5,72.13,9910026
2017-01-19,71.82,72.25,71.23,71.57,9810909
2017-01-20,71.97,72.0,70.58,71.01,10270332
2017-01-23,70.87,71.29,70.3,70.69,9657611
2017-01-24,70.6,70.98,69.78,70.25,10912814
2017-01-25,70.82,72.34,70.72,71.91,14026510
2017-01-26,71.78,71.85,71.15,71.22,8580128
2017-01-27,71.43,72.17,71.16,71.26,6939722
2017-01-30,71.0,71.67,70.74,71.51,7242500
2017-01-31,71.13,72.58,70.99,72.45,10365481
2017-02-01,72.72,72.88,72.06,72.82,7441835
2017-02-02,72.61,72.83,71.78,72.25,8814249
2017-02-03,72.74,72.75,71.77,72.34,8034271
2017-02-06,72.02,72.67,71.44,72.39,7634966
2017-02-07,72.56,73.3,72.41,73.13,13325377
2017-02-08,67.27,67.27,65.75,66.83,51547414
2017-02-09,66.34,66.79,65.38,65.59,23070617
2017-02-10,65.85,66.78,65.43,66.36,16208423
2017-02-13,66.81,67.78,66.5,67.65,15885076
2017-02-14,68.6,68.67,67.33,67.55,14972621
2017-02-15,67.7,69.98,67.66,69.8,16656620
2017-02-16,70.0,70.67,69.26,70.31,10965471
2017-02-17,70.18,70.79,69.71,69.85,11186926
2017-02-21,70.0,70.0,68.83,69.29,11190406
2017-02-22,69.11,69.73,68.66,68.83,10073355
2017-02-23,68.74,69.52,68.43,69.37,7529059
2017-02-24,69.32,70.07,69.05,69.94,7382357
2017-02-27,69.82,70.54,69.8,70.5,6354158
2017-02-28,70.37,70.94,70.01,70.48,8828777
2017-03-01,70.82,70.99,70.02,70.19,9629398
2017-03-02,70.0,70.89,70.0,70.53,8672850
2017-03-03,70.67,70.81,70.22,70.74,6626058
2017-03-06,70.56,70.6,69.7,70.12,7335858
2017-03-07,69.59,69.96,68.78,69.02,9044155
2017-03-08,69.02,70.0,68.88,69.7,7379483
2017-03-09,69.21,69.25,67.81,68.39,13597006
2017-03-10,68.57,68.61,67.45,68.19,14480510
2017-03-13,68.32,68.35,67.53,68.1,8493496
