Date,Open,High,Low,Close,Volume
2016-10-04,73.64,73.73,72.58,72.8,3267330
2016-10-05,73.02,73.1,72.59,72.97,2365496
2016-10-06,72.87,73.52,72.67,73.28,2561692
2016-10-07,73.4,73.61,72.46,73.05,3316007
2016-10-10,73.36,73.5,72.4,72.61,2986404
2016-10-11,72.54,72.63,71.89,72.2,2971861
2016-10-12,72.15,72.6,72.02,72.43,2202775
2016-10-13,72.07,72.49,71.76,72.16,2991573
2016-10-14,72.4,72.9,72.16,72.31,2874972
2016-10-17,72.41,72.72,72.05,72.08,2273438
2016-10-18,72.64,72.64,71.93,71.93,2729867
2016-10-19,71.81,72.02,71.45,71.7,2940977
2016-10-20,71.32,71.62,70.86,70.92,3317215
2016-10-21,70.94,71.15,70.61,70.92,3633052
2016-10-24,71.0,71.36,70.86,71.03,2408601
2016-10-25,71.37,71.72,71.18,71.31,2535620
2016-10-26,71.3,71.35,70.71,71.26,2941251
2016-10-27,71.72,71.87,70.25,70.57,4366803
2016-10-28,70.75,71.33,70.61,71.17,3295140
2016-10-31,71.28,71.69,71.02,71.36,2785943
2016-11-01,71.46,71.58,70.8,70.99,2329725
2016-11-02,70.94,71.42,70.84,71.18,3437007
2016-11-03,71.32,71.38,70.4,70.57,4144354
2016-11-04,70.75,70.91,69.56,69.57,3874255
2016-11-07,70.26,70.69,70.06,70.54,3596734
2016-11-08,70.51,71.73,70.36,71.59,4051396
2016-11-09,70.4,70.62,69.37,70.37,4900954
2016-11-10,69.76,69.9,66.64,67.2,9784878
2016-11-11,67.24,67.77,66.82,67.42,4008392
2016-11-14,67.14,67.36,66.53,66.58,3893975
2016-11-15,66.67,67.0,66.22,66.59,5253209
2016-11-16,66.93,66.94,66.33,66.74,3000760
2016-11-17,66.65,66.83,65.92,65.99,3831561
2016-11-18,65.74,66.0,65.5,65.86,4747547
2016-11-21,65.93,66.38,65.82,66.22,3494646
2016-11-22,66.43,66.73,66.24,66.33,3556114
2016-11-23,66.01,66.28,65.87,65.99,2230739
2016-11-25,66.33,66.7,66.3,66.53,1302337
2016-11-28,66.39,66.69,66.04,66.43,3102201
2016-11-29,66.65,66.75,66.26,66.53,2674141
2016-11-30,66.27,66.67,65.23,65.23,4515892
2016-12-01,65.23,65.38,64.64,65.08,4204687
2016-12-02,65.18,65.47,64.46,64.72,4487018
2016-12-05,64.95,65.2,64.52,64.63,4401771
2016-12-06,64.78,65.12,64.51,65.03,4540751
2016-12-07,65.13,65.95,64.92,65.93,6569993
2016-12-08,65.66,66.0,65.3,65.7,3204399
2016-12-09,65.7,66.37,65.64,66.29,2465595
2016-12-12,66.28,66.95,66.28,66.75,3126527
2016-12-13,66.76,67.3,66.7,66.89,3456448
2016-12-14,66.92,67.14,65.79,65.91,3809332
2016-12-15,65.72,66.35,64.99,66.23,4838106
2016-12-16,66.32,66.47,65.7,66.23,4382784
2016-12-19,66.11,66.49,65.85,66.06,2408840
2016-12-20,66.44,66.45,65.97,66.39,2635787
2016-12-21,66.19,66.73,66.03,66.05,2007121
2016-12-22,65.97,66.43,65.84,66.37,1673655
2016-12-23,66.39,66.5,66.0,66.27,1210939
2016-12-27,66.2,66.42,65.82,66.01,1629495
2016-12-28,66.01,66.24,65.58,65.61,1671279
2016-12-29,65.73,66.0,65.64,65.89,2108805
2016-12-30,65.84,66.07,65.28,65.44,3491842
2017-01-03,65.56,65.65,65.1,65.54,3039523
2017-01-04,65.81,66.37,65.8,66.26,4047854
2017-01-05,66.31,66.99,66.13,66.85,2857871
