Date,Open,High,Low,Close,Volume
2016-10-04,80.85,81.49,80.03,80.24,3111612
2016-10-05,80.3,80.9,80.18,80.51,2498209
2016-10-06,80.7,80.7,79.74,80.3,3662227
2016-10-07,80.65,80.75,79.25,79.88,2851713
2016-10-10,80.0,80.1,79.39,79.65,2765162
2016-10-11,79.45,79.51,77.8,78.08,5524004
2016-10-12,78.16,78.92,77.81,78.3,3474569
2016-10-13,77.84,78.63,77.7,78.2,3458736
2016-10-14,78.43,78.69,77.94,78.31,2657834
2016-10-17,79.5,79.7,77.83,78.01,3803498
2016-10-18,78.63,78.9,77.99,78.08,3097066
2016-10-19,78.06,78.07,76.26,77.18,5890663
2016-10-20,78.75,81.3,78.62,81.02,11159279
2016-10-21,80.7,81.62,80.28,81.57,4762880
2016-10-24,81.65,83.34,81.58,83.11,4751526
2016-10-25,83.1,83.25,82.18,82.45,3318564
2016-10-26,81.53,82.96,81.53,82.3,3068295
2016-10-27,82.18,82.69,81.82,82.16,2779828
2016-10-28,80.23,81.15,79.33,81.1,7971224
2016-10-31,81.48,82.8,81.39,82.73,4662127
2016-11-01,81.95,82.73,81.79,82.46,5130759
2016-11-02,81.3,82.29,81.28,81.93,9783089
2016-11-03,82.35,82.46,80.68,80.78,4587201
2016-11-04,80.05,81.26,80.05,80.35,7023873
2016-11-07,81.56,81.82,81.03,81.45,4453554
2016-11-08,78.21,80.55,77.02,80.09,12055433
2016-11-09,79.47,82.21,79.25,81.54,7290496
2016-11-10,82.0,82.3,79.82,80.87,5293448
2016-11-11,80.76,81.12,79.87,81.05,3802604
2016-11-14,81.04,81.88,80.78,81.76,4500869
2016-11-15,81.9,83.35,81.37,83.28,6651645
2016-11-16,83.25,83.36,82.45,83.19,3833572
2016-11-17,83.07,84.1,82.25,83.99,3806722
2016-11-18,83.53,83.87,82.56,83.27,5013338
2016-11-21,83.15,84.51,83.04,84.42,3110653
2016-11-22,84.47,84.72,83.77,83.92,3500542
2016-11-23,83.93,84.15,83.61,84.05,2788299
2016-11-25,84.16,84.53,84.0,84.43,1587742
2016-11-28,84.1,85.57,84.05,85.35,3956847
2016-11-29,85.33,86.26,84.66,85.53,3686831
2016-11-30,85.75,85.84,84.41,84.73,5951933
2016-12-01,84.83,85.05,83.7,84.22,4463474
2016-12-02,84.39,85.44,83.89,85.11,3928646
2016-12-05,85.11,85.27,84.62,85.0,2800176
2016-12-06,84.82,85.0,84.29,84.71,2911403
