Date,Open,High,Low,Close,Volume
2016-10-04,92.74,92.78,90.79,91.21,2700123
2016-10-05,91.56,92.61,90.75,91.82,2664086
2016-10-06,91.44,92.62,90.92,92.22,2443445
2016-10-07,92.84,93.44,91.79,91.81,2191820
2016-10-10,92.05,92.6,91.91,92.35,1391548
2016-10-11,92.16,92.29,91.4,91.6,1520657
2016-10-12,91.46,92.2,91.24,91.75,1218700
2016-10-13,91.82,93.12,91.66,92.73,1978568
2016-10-14,92.48,92.81,91.92,92.0,1144518
2016-10-17,92.26,92.66,91.97,92.39,1252096
2016-10-18,92.92,93.22,91.8,92.84,1239579
2016-10-19,92.91,93.06,92.16,92.76,826530
2016-10-20,93.0,93.85,92.71,93.11,1181832
2016-10-21,92.16,93.13,92.16,92.75,956871
2016-10-24,93.11,93.5,92.49,93.14,969780
2016-10-25,92.86,94.02,92.83,93.99,1152508
2016-10-26,94.54,94.67,93.08,93.9,1204791
2016-10-27,93.43,94.03,93.07,93.69,1655626
2016-10-28,93.66,94.42,93.39,93.94,1048267
2016-10-31,94.35,96.54,94.17,96.01,1492263
2016-11-01,96.0,96.0,94.15,94.29,949207
2016-11-02,94.22,94.22,92.45,93.18,907984
2016-11-03,92.79,93.68,92.44,93.27,706895
2016-11-04,93.85,94.71,93.07,93.09,1069156
2016-11-07,93.61,95.33,92.75,95.29,825063
2016-11-08,95.48,96.78,95.11,96.15,1009438
2016-11-09,94.75,94.75,92.26,92.37,1375515
2016-11-10,92.2,92.23,89.66,91.28,1757188
2016-11-11,91.06,92.54,90.71,90.97,812703
2016-11-14,90.69,91.79,90.0,91.38,1379953
2016-11-15,91.88,93.92,91.86,93.39,1745368
2016-11-16,93.45,94.08,91.31,91.96,1269622
2016-11-17,91.55,92.31,91.37,91.68,723526
2016-11-18,91.63,92.22,90.91,91.22,877234
2016-11-21,91.57,92.3,91.35,92.28,773393
2016-11-22,93.03,94.25,92.5,93.83,1592547
2016-11-23,92.82,93.87,92.46,92.66,870503
2016-11-25,92.85,94.24,92.85,94.03,434756
2016-11-28,94.38,96.04,94.16,95.8,1075685
2016-11-29,95.28,96.52,95.22,95.8,765363
2016-11-30,94.47,94.69,93.06,93.09,1260354
2016-12-01,92.49,93.66,92.19,93.61,1568463
2016-12-02,94.36,95.4,94.05,95.13,1847535
2016-12-05,94.67,95.11,93.76,95.08,1499168
2016-12-06,95.24,95.89,94.93,95.19,807302
2016-12-07,95.38,97.06,95.38,96.9,1446511
2016-12-08,96.19,96.6,95.17,96.19,1105416
