Date,Open,High,Low,Close,Volume
2016-10-04,67.38,68.06,66.92,66.95,1472052
2016-10-05,67.3,67.75,67.14,67.24,1794057
2016-10-06,67.24,68.34,67.15,68.16,1502238
2016-10-07,68.13,68.4,67.57,67.88,1183727
2016-10-10,68.3,68.92,68.24,68.51,1498275
2016-10-11,68.19,68.78,67.8,68.26,2165811
2016-10-12,68.41,68.71,68.01,68.27,1627105
2016-10-13,68.03,68.2,67.27,67.38,1922575
2016-10-14,68.14,68.34,66.78,67.26,1803506
2016-10-17,67.23,67.4,65.39,65.54,2371298
2016-10-18,65.73,66.34,65.22,65.27,2260917
2016-10-19,65.59,67.39,65.47,67.37,2920774
2016-10-20,65.99,66.66,63.22,64.99,6081103
2016-10-21,64.73,65.2,63.71,64.93,2498387
2016-10-24,65.04,65.39,64.25,64.5,1665870
2016-10-25,64.21,64.27,62.78,63.14,1687477
2016-10-26,63.11,63.74,62.96,63.17,1021162
2016-10-27,63.23,63.45,61.84,62.07,1034789
2016-10-28,61.68,62.39,61.62,61.92,1099946
2016-10-31,61.95,62.77,61.5,62.63,1516729
2016-11-01,62.75,64.93,62.65,64.46,2662397
2016-11-02,64.54,65.99,64.54,65.65,2724783
2016-11-03,66.05,66.78,65.52,65.61,2489144
2016-11-04,65.85,67.07,65.37,65.44,2333247
2016-11-07,66.35,66.52,65.56,65.76,1617792
2016-11-08,65.81,65.99,64.98,65.73,1661807
2016-11-09,63.81,67.34,63.51,66.99,2395510
2016-11-10,67.48,68.89,67.31,68.67,2195841
2016-11-11,68.63,71.2,68.35,71.1,3288825
2016-11-14,71.55,72.8,70.79,72.05,3089731
2016-11-15,72.05,72.66,70.86,71.71,2468975
2016-11-16,71.25,72.22,71.1,72.11,1662399
2016-11-17,71.9,73.19,71.54,73.16,1529413
2016-11-18,72.89,73.39,72.04,72.91,1669758
2016-11-21,73.24,74.46,72.88,74.38,1811071
2016-11-22,74.55,75.32,74.2,74.37,2031990
2016-11-23,74.53,75.46,74.0,75.04,1357588
2016-11-25,75.11,75.2,74.52,74.61,364775
2016-11-28,74.52,75.48,74.52,74.92,1254001
2016-11-29,76.04,76.14,74.43,74.75,1499509
2016-11-30,74.9,75.36,74.61,75.07,1322718
2016-12-01,75.24,77.31,75.06,76.05,1718717
2016-12-02,76.23,77.12,75.52,75.59,1162615
2016-12-05,76.01,76.7,75.55,76.66,1688930
2016-12-06,76.66,76.75,75.72,76.34,968753
2016-12-07,76.34,77.48,75.93,77.39,1286630
2016-12-08,77.49,77.49,76.27,76.57,1733913
2016-12-09,76.72,77.76,76.03,77.44,1345990
2016-12-12,76.76,77.44,75.98,76.52,1622304
2016-12-13,76.09,77.21,75.7,76.72,1705535
2016-12-14,76.93,76.94,75.46,75.49,1707299
2016-12-15,75.74,76.79,75.22,76.25,1678836
2016-12-16,76.47,76.64,75.61,76.34,2492132
2016-12-19,76.25,77.1,76.03,76.52,913685
2016-12-20,76.6,78.13,76.23,78.11,1054639
2016-12-21,78.17,78.17,77.48,77.65,761431
2016-12-22,77.65,77.74,75.87,76.21,1074181
2016-12-23,76.38,76.95,76.03,76.13,574230
2016-12-27,76.45,77.16,76.08,76.53,587637
2016-12-28,76.6,76.88,75.54,75.73,517668
2016-12-29,75.86,76.52,75.57,76.02,722081
2016-12-30,76.26,76.77,75.36,75.81,570377
2017-01-03,76.9,77.25,75.73,75.9,1253422
2017-01-04,75.81,77.16,75.41,76.79,1415042
2017-01-05,76.33,77.13,74.94,75.63,1514973
2017-01-06,75.81,76.03,75.08,75.16,1464486
2017-01-09,75.21,75.63,74.68,75.37,877730
2017-01-10,75.2,76.84,75.12,76.35,962614
2017-01-11,76.59,76.94,75.66,76.5,715499
2017-01-12,76.5,76.67,75.32,75.95,608002
2017-01-13,77.13,77.37,75.89,76.05,1299121
2017-01-17,76.03,78.25,76.03,77.36,1062618
2017-01-18,77.36,77.74,75.65,76.41,1154797
2017-01-19,76.19,76.72,74.26,74.79,1465518
2017-01-20,75.0,75.35,74.26,75.22,1265747
2017-01-23,74.85,75.14,74.05,74.71,1090569
2017-01-24,75.0,75.28,74.11,75.16,1650446
2017-01-25,75.66,76.12,74.38,75.23,1171952
2017-01-26,75.27,75.81,74.46,74.99,899795
2017-01-27,75.18,75.19,74.1,74.36,853471
2017-01-30,74.2,74.54,73.27,74.48,1715535
2017-01-31,74.13,74.39,72.71,73.67,2112525
2017-02-01,73.27,74.06,71.61,72.37,4076846
2017-02-02,75.12,76.0,73.02,73.71,6506603
2017-02-03,73.46,73.75,72.0,73.28,2283663
2017-02-06,73.17,73.93,72.54,73.28,1459360
2017-02-07,73.35,73.91,72.81,73.18,1254365
2017-02-08,73.13,73.66,72.01,73.03,2955495
2017-02-09,73.0,74.15,72.56,73.54,3385279
2017-02-10,73.57,74.62,73.32,74.25,1593616
2017-02-13,74.48,74.55,73.06,73.16,1050285
2017-02-14,73.14,73.7,73.11,73.4,894984
2017-02-15,73.36,73.67,72.65,72.73,1892373
2017-02-16,72.88,73.06,70.49,70.85,3179855
2017-02-17,70.8,72.29,70.49,72.18,3440232
2017-02-21,72.9,73.0,71.61,72.92,2529768
2017-02-22,73.0,73.43,72.23,72.3,1561999
2017-02-23,72.5,72.86,70.91,71.0,1637397
2017-02-24,71.37,71.9,70.72,71.17,2849376
2017-02-27,71.23,72.26,70.53,71.32,2696996
2017-02-28,71.36,71.74,70.12,70.91,2128432
2017-03-01,71.67,72.28,71.03,71.92,2517611
2017-03-02,72.01,73.0,71.78,72.59,2209373
2017-03-03,72.4,72.52,71.64,72.39,1502010
2017-03-06,72.39,72.39,71.08,71.78,1522315
2017-03-07,71.58,71.87,71.26,71.43,1067721
2017-03-08,71.55,73.08,71.4,72.7,1448153
2017-03-09,72.59,72.78,71.95,71.97,1597799
2017-03-10,72.02,72.63,71.89,72.51,1066792
2017-03-13,72.51,72.76,70.22,71.7,2330170
2017-03-14,70.81,72.26,70.81,71.74,1312211
