Date,Open,High,Low,Close,Volume
2016-10-04,97.11,97.73,95.37,95.79,1456760
2016-10-05,96.23,97.17,96.05,97.04,1199981
2016-10-06,97.04,97.82,96.65,97.45,1638570
2016-10-07,97.3,97.4,96.05,96.78,1441822
2016-10-10,97.22,97.59,95.69,95.83,1743037
2016-10-11,96.59,97.0,94.25,94.67,3044202
2016-10-12,93.85,94.34,93.2,93.42,2167326
2016-10-13,92.81,95.03,92.47,94.82,1923019
2016-10-14,95.51,96.4,94.85,94.94,1473619
2016-10-17,94.82,95.53,94.57,94.84,1021375
2016-10-18,95.25,95.69,94.48,94.98,999292
2016-10-19,95.25,96.38,94.9,95.64,1009300
2016-10-20,95.01,95.15,92.94,93.13,1569352
2016-10-21,92.35,93.01,92.07,92.92,1884713
2016-10-24,93.84,94.26,92.85,92.95,1350498
2016-10-25,92.79,93.56,92.56,93.27,2111781
2016-10-26,91.9,92.37,89.95,90.03,2340770
2016-10-27,90.65,91.58,90.53,91.35,2479253
2016-10-28,91.51,93.16,91.36,92.27,2454975
2016-10-31,92.73,93.54,92.42,93.0,1833829
2016-11-01,93.28,93.28,90.98,91.6,1553137
2016-11-02,91.42,92.53,91.32,91.99,1688346
2016-11-03,92.21,92.53,91.55,91.76,1295786
2016-11-04,91.79,92.39,91.28,91.62,766855
2016-11-07,92.49,94.99,92.49,94.95,1490151
2016-11-08,94.55,96.34,94.09,96.0,1554025
2016-11-09,95.71,100.73,95.1,98.8,5764386
2016-11-10,99.79,101.19,99.07,100.5,4422260
2016-11-11,99.91,100.93,98.92,100.91,2738095
2016-11-14,101.0,104.87,100.91,103.99,3119940
2016-11-15,103.99,104.78,102.79,104.58,1974232
2016-11-16,104.07,104.38,102.7,103.0,2213563
2016-11-17,103.0,103.44,102.59,103.14,2566836
2016-11-18,102.93,103.98,102.76,103.45,1870167
2016-11-21,103.76,105.3,103.62,104.6,1717744
2016-11-22,104.93,105.5,103.75,103.92,1827954
2016-11-23,103.75,104.77,103.75,104.04,1505306
2016-11-25,104.24,104.56,103.91,104.34,919934
2016-11-28,103.72,104.24,102.77,103.99,1627147
2016-11-29,103.82,104.86,103.23,104.37,2261762
2016-11-30,105.0,107.32,104.75,106.46,3335070
2016-12-01,106.87,107.89,106.58,106.83,2059523
2016-12-02,106.65,107.1,105.09,105.6,1782230
2016-12-05,106.2,106.92,105.62,105.96,1745376
2016-12-06,105.96,106.25,105.16,106.21,1356608
2016-12-07,106.64,109.86,106.05,109.75,1920623
2016-12-08,109.88,110.38,109.0,110.02,1360617
2016-12-09,109.89,110.72,109.13,110.6,1457012
2016-12-12,110.78,111.43,109.4,110.69,1854522
2016-12-13,110.83,111.39,108.45,109.83,1793171
2016-12-14,109.54,110.24,107.46,107.58,1867108
2016-12-15,107.23,109.24,106.79,108.11,1374933
2016-12-16,108.09,108.18,106.11,106.67,2613969
2016-12-19,106.56,107.17,106.17,106.93,1302343
2016-12-20,107.25,108.35,107.05,108.17,1197366
2016-12-21,108.33,108.98,107.57,108.05,1292154
2016-12-22,107.65,108.79,107.46,108.78,1645427
2016-12-23,108.66,109.79,108.19,109.28,2118471
2016-12-27,109.34,109.87,109.32,109.45,856003
2016-12-28,109.41,110.26,108.62,108.72,1034319
2016-12-29,108.86,109.32,107.77,108.82,926851
2016-12-30,108.85,108.99,107.5,108.07,1487575
2017-01-03,108.91,109.52,106.15,106.99,1770074
2017-01-04,107.57,110.98,107.15,110.64,2705481
2017-01-05,110.18,111.65,110.16,110.29,3135306
2017-01-06,110.18,112.99,109.92,111.66,2009206
2017-01-09,110.89,110.89,108.28,109.18,2081833
2017-01-10,109.23,110.05,108.33,109.26,1814466
2017-01-11,109.35,110.65,108.77,110.55,1180155
2017-01-12,110.61,111.44,109.36,111.01,1239557
2017-01-13,111.01,111.85,110.55,111.59,1702774
2017-01-17,111.18,111.45,108.47,108.9,1876295
2017-01-18,106.96,110.04,105.89,109.97,2589626
2017-01-19,115.57,116.0,112.56,114.42,5853193
2017-01-20,113.68,113.8,111.75,113.59,2656391
2017-01-23,113.7,113.91,112.38,113.55,1951223
2017-01-24,114.0,117.09,113.3,116.62,3460726
2017-01-25,117.41,121.3,116.8,120.53,3833711
2017-01-26,118.79,122.17,118.32,119.51,2586717
2017-01-27,120.18,120.62,118.95,120.35,2190038
2017-01-30,119.27,120.1,117.56,119.63,2510277
2017-01-31,119.44,119.75,117.11,117.46,3474908
2017-02-01,117.37,120.0,117.25,119.93,2913818
2017-02-02,119.12,120.0,117.61,119.47,2305295
2017-02-03,119.69,121.22,118.94,120.46,1683921
2017-02-06,120.13,120.74,118.6,119.87,2205772
2017-02-07,120.16,122.5,120.0,120.88,2004271
2017-02-08,120.46,121.1,119.09,120.94,1440814
2017-02-09,121.46,121.99,120.51,120.65,1817437
2017-02-10,121.0,121.75,119.95,121.12,1930539
2017-02-13,121.33,123.3,121.17,122.21,1565002
2017-02-14,121.83,123.0,121.62,122.49,1326279
2017-02-15,122.44,123.42,121.16,122.71,2285818
2017-02-16,122.63,123.32,121.72,122.93,1482536
2017-02-17,122.64,123.18,121.77,122.78,1266960
2017-02-21,123.09,125.0,122.81,123.53,1485959
2017-02-22,122.86,123.09,121.9,122.32,1734849
2017-02-23,122.99,123.05,119.16,120.03,2379006
2017-02-24,119.0,120.1,118.65,120.08,2370620
2017-02-27,120.2,121.22,118.93,121.12,1872125
2017-02-28,121.26,122.18,120.58,121.03,1305577
2017-03-01,122.2,124.5,121.81,123.35,1582193
2017-03-02,123.23,123.28,121.7,121.77,1108061
2017-03-03,121.93,122.51,120.83,122.4,1792825
2017-03-06,121.34,123.11,121.22,122.93,1542800
2017-03-07,122.94,123.17,121.63,122.0,1961203
2017-03-08,122.0,122.14,119.64,119.87,1816992
2017-03-09,119.88,120.61,118.89,119.4,1658728
2017-03-10,119.86,120.79,118.97,119.66,1362916
2017-03-13,119.74,120.26,118.92,119.53,1536236
2017-03-14,119.58,119.58,117.79,118.35,1665149
2017-03-15,116.96,117.92,115.92,117.51,3160283
2017-03-16,117.4,117.67,115.13,115.35,3952754
2017-03-17,115.42,115.74,114.21,114.71,4796585
2017-03-20,114.89,115.52,114.24,114.84,2530167
2017-03-21,115.11,115.63,110.69,111.5,3362567
2017-03-22,111.74,112.65,111.1,111.77,2378243
2017-03-23,110.64,111.94,110.31,110.55,2412645
2017-03-24,110.8,111.51,110.14,110.66,1276656
2017-03-27,109.51,111.7,109.27,111.13,1776961
2017-03-28,111.0,114.38,110.78,113.32,2243779
2017-03-29,112.86,113.72,112.52,113.21,1148890
2017-03-30,113.4,115.39,113.4,114.25,1283761
2017-03-31,113.56,113.73,111.94,111.97,2209564
2017-04-03,112.23,113.93,111.9,113.5,2288010
2017-04-04,113.73,115.25,113.26,115.19,2089460
2017-04-05,115.59,117.63,114.45,114.73,1726477
2017-04-06,114.66,116.18,114.66,115.88,1526428
2017-04-07,115.97,116.94,115.32,115.9,2126447
2017-04-10,115.99,117.0,115.02,115.49,2187310
2017-04-11,115.25,115.36,112.86,115.22,1823350
