Date,Open,High,Low,Close,Volume
2016-10-04,86.51,86.62,85.83,86.11,4092654
2016-10-05,86.12,86.62,86.04,86.3,2656435
2016-10-06,86.18,86.26,85.63,85.95,3057269
2016-10-07,86.22,86.5,85.59,85.96,3182362
2016-10-10,86.18,86.74,85.96,86.17,2815924
2016-10-11,85.96,85.99,82.27,83.2,9865199
2016-10-12,83.42,84.04,83.2,83.68,3861544
2016-10-13,83.37,83.85,82.86,83.31,4941254
2016-10-14,83.43,83.78,82.7,82.71,4042241
2016-10-17,82.53,82.78,82.4,82.57,3986835
2016-10-18,83.09,83.86,82.7,83.55,3510342
2016-10-19,83.77,84.03,83.45,83.67,3485860
2016-10-20,83.66,84.31,83.31,84.02,4438643
2016-10-21,83.32,84.03,83.21,83.91,4415015
2016-10-24,84.39,84.64,83.29,83.3,3777341
2016-10-25,83.34,83.42,82.29,82.47,3866554
2016-10-26,81.89,81.9,80.7,81.12,4626374
2016-10-27,81.3,81.69,80.83,81.13,3307409
2016-10-28,81.04,82.33,80.91,81.93,5281306
2016-10-31,80.95,82.12,80.88,82.02,6285420
2016-11-01,82.02,82.4,80.45,80.92,5663856
2016-11-02,81.04,81.78,80.94,81.09,4613146
2016-11-03,81.39,81.68,81.19,81.6,5501825
2016-11-04,81.69,83.02,81.64,82.14,5584541
2016-11-07,83.28,84.17,82.97,83.95,4519159
2016-11-08,83.85,85.09,83.5,84.34,4793090
2016-11-09,82.67,84.07,81.65,82.86,9800343
2016-11-10,83.59,83.59,82.35,82.72,6401748
2016-11-11,82.18,82.61,81.73,82.07,5199245
2016-11-14,82.22,82.22,76.39,78.75,12327788
2016-11-15,79.4,80.59,79.29,80.27,6878996
2016-11-16,80.25,81.05,79.75,80.89,4281885
2016-11-17,81.1,81.81,81.01,81.8,3789554
2016-11-18,81.71,81.91,80.82,80.93,4674186
2016-11-21,81.22,81.69,80.51,80.58,7387535
2016-11-22,74.25,75.36,72.03,73.6,31140072
2016-11-23,73.26,76.1,73.19,75.78,14397357
2016-11-25,76.41,76.44,75.08,75.52,3045998
2016-11-28,75.45,75.6,73.88,73.99,7525125
2016-11-29,74.4,74.71,72.77,73.42,6760994
2016-11-30,73.71,73.98,72.35,73.01,11613719
2016-12-01,73.01,73.24,71.04,71.88,9619233
2016-12-02,72.55,72.64,71.79,72.01,6521589
2016-12-05,72.56,72.66,71.53,71.67,8078168
2016-12-06,72.06,72.43,71.58,72.11,6504670
2016-12-07,71.9,72.3,71.05,72.22,7482092
2016-12-08,72.11,72.2,71.42,72.07,9466263
2016-12-09,72.25,73.41,72.07,73.35,7160431
2016-12-12,73.36,74.09,73.31,73.71,6144778
2016-12-13,73.92,74.31,73.07,73.37,6630678
2016-12-14,73.49,73.81,72.84,73.3,5439418
2016-12-15,73.33,73.98,72.93,73.44,6240281
2016-12-16,73.63,74.26,73.32,73.46,9969735
2016-12-19,73.52,73.78,73.01,73.1,4585055
2016-12-20,73.08,73.37,72.32,72.44,6851461
2016-12-21,72.12,72.32,71.22,71.58,7623966
2016-12-22,71.5,72.07,71.13,71.74,5846714
2016-12-23,71.76,72.24,71.53,71.95,3124965
2016-12-27,72.03,72.29,71.69,71.77,3256597
2016-12-28,71.87,72.49,71.72,71.81,5581682
2016-12-29,71.73,71.98,71.33,71.54,3893469
2016-12-30,71.79,72.0,71.08,71.23,5631289
2017-01-03,70.25,71.03,69.35,70.61,11125439
2017-01-04,70.9,71.66,70.82,71.27,7806756
2017-01-05,71.48,71.51,70.59,70.83,6217295
2017-01-06,71.14,72.88,71.1,72.87,8985597
2017-01-09,73.3,74.11,73.2,73.82,9671972
2017-01-10,74.27,75.27,74.12,74.9,7681694
2017-01-11,75.12,75.12,73.38,74.44,7475395
2017-01-12,74.06,75.23,73.74,75.11,6462636
2017-01-13,75.0,75.3,74.66,75.09,5455763
2017-01-17,75.06,75.95,74.37,75.82,7084447
2017-01-18,76.27,76.27,75.21,75.67,5833131
2017-01-19,75.3,75.72,74.94,75.3,6753741
2017-01-20,75.51,75.68,74.72,74.99,8898612
2017-01-23,74.72,75.14,74.36,74.77,4523412
2017-01-24,74.64,74.73,73.59,73.83,6430264
2017-01-25,73.99,74.61,73.59,74.49,6171222
2017-01-26,74.49,74.58,73.89,74.04,3699426
2017-01-27,74.54,75.23,74.47,74.95,4903039
2017-01-30,74.68,74.94,74.32,74.67,4372073
2017-01-31,74.59,76.23,74.27,76.02,7828178
2017-02-01,75.28,76.04,75.23,76.0,5618319
2017-02-02,75.58,76.29,75.44,75.92,5357309
2017-02-03,76.13,76.5,75.67,76.34,4985915
2017-02-06,76.32,76.34,75.52,75.98,3817624
2017-02-07,75.87,76.16,75.52,76.12,3898535
2017-02-08,76.07,76.14,75.52,75.6,3668198
2017-02-09,75.77,75.88,75.44,75.71,4367492
2017-02-10,75.85,76.26,75.71,76.15,3427117
2017-02-13,76.27,76.93,76.15,76.92,4081591
2017-02-14,77.0,77.3,76.46,77.05,3781965
2017-02-15,76.64,77.89,76.57,77.7,4244303
2017-02-16,77.72,78.0,77.16,77.99,4152633
2017-02-17,77.86,78.98,77.8,78.88,9954648
2017-02-21,80.0,80.98,79.8,80.56,7313051
2017-02-22,80.25,80.47,79.24,79.62,5507981
2017-02-23,80.25,80.93,79.95,80.74,4552670
2017-02-24,80.54,81.05,80.44,81.03,4489059
2017-02-27,81.03,81.16,80.65,80.75,3589002
2017-02-28,80.51,81.13,80.46,80.91,3749326
2017-03-01,81.31,82.28,80.96,82.07,4995977
2017-03-02,81.9,82.47,81.49,81.99,4069138
2017-03-03,81.62,82.0,81.34,81.86,2775683
2017-03-06,81.42,81.86,81.28,81.54,2681761
2017-03-07,81.18,81.72,81.1,81.4,2594882
2017-03-08,81.4,82.4,81.27,82.22,4018613
2017-03-09,82.15,82.88,81.89,82.79,3478828
2017-03-10,83.0,83.19,82.58,83.04,4034472
2017-03-13,82.99,83.19,82.44,82.89,3134236
2017-03-14,82.66,84.0,82.14,82.52,3591993
2017-03-15,82.6,83.45,82.57,83.3,3267104
2017-03-16,83.24,83.47,81.61,81.83,6347398
2017-03-17,81.81,82.34,81.7,82.23,11360911
2017-03-20,82.16,82.24,81.28,81.42,4423782
2017-03-21,81.8,81.9,80.72,81.12,5343909
2017-03-22,80.7,81.19,80.36,81.0,4419781
2017-03-23,80.74,81.35,80.68,80.86,4194824
2017-03-24,80.85,81.47,80.85,81.0,3010258
2017-03-27,80.7,81.16,80.39,81.03,5272212
2017-03-28,80.92,81.05,80.62,80.74,7442253
2017-03-29,80.83,81.33,80.45,81.14,5686691
2017-03-30,81.04,81.22,80.5,80.99,2421423
2017-03-31,80.75,81.11,80.55,80.56,3789950
2017-04-03,80.85,81.16,80.21,81.03,3250242
2017-04-04,81.0,81.07,80.48,80.62,3097811
2017-04-05,80.92,81.09,80.21,80.24,3620585
2017-04-06,80.68,80.68,79.82,80.22,3930436
2017-04-07,80.25,80.65,80.14,80.37,2515187
2017-04-10,80.3,80.61,80.12,80.3,2666891
2017-04-11,80.11,80.35,79.79,80.15,2642725
2017-04-12,79.77,80.16,79.65,80.1,3551357
2017-04-13,80.0,80.5,79.88,80.01,3440864
2017-04-17,80.17,80.41,79.91,80.36,2695306
2017-04-18,80.68,80.68,80.12,80.33,4543196
2017-04-19,80.75,80.75,80.27,80.32,3781707
2017-04-20,80.16,81.24,79.91,81.02,5324431
2017-04-21,80.99,81.07,80.29,80.48,3582332
2017-04-24,81.36,81.54,80.6,80.65,4153896
2017-04-25,80.76,82.21,80.75,81.76,4350989
2017-04-26,82.24,82.97,82.07,82.14,4445177
2017-04-27,82.22,83.5,82.12,83.13,4878111
2017-04-28,83.04,83.11,82.66,83.09,3915398
2017-05-01,83.01,84.06,83.01,83.74,4325896
2017-05-02,83.65,84.79,83.65,84.75,5266145
2017-05-03,84.71,84.71,83.9,84.09,3226126
2017-05-04,84.1,84.41,83.84,83.91,3669585
2017-05-05,84.15,84.21,83.79,84.0,4030096
2017-05-08,83.98,83.98,83.1,83.3,3913173
2017-05-09,83.33,83.77,83.19,83.34,3819867
2017-05-10,83.24,83.24,82.58,82.89,4942597
2017-05-11,82.45,83.02,82.2,83.01,3801028
2017-05-12,82.87,83.88,82.81,83.42,3013434
2017-05-15,83.41,84.25,83.13,84.14,3532094
2017-05-16,84.09,84.33,83.46,83.94,4635296
2017-05-17,82.89,83.51,82.59,82.66,5861762
2017-05-18,81.59,82.9,81.5,82.4,5225643
2017-05-19,82.45,83.51,82.23,83.23,4780448
2017-05-22,83.26,84.35,83.26,83.99,3912587
2017-05-23,84.1,84.92,83.94,84.61,4385962
2017-05-24,84.8,85.2,84.08,84.7,6668983
2017-05-25,85.21,86.0,83.86,85.58,7210611
2017-05-26,85.58,85.82,84.6,85.09,4796850
2017-05-30,85.11,85.33,84.5,84.86,4131612
2017-05-31,84.99,85.4,83.78,84.28,7439946
2017-06-01,84.61,86.08,84.37,86.08,7535314
2017-06-02,86.12,86.72,85.54,85.82,6162465
2017-06-05,85.59,86.02,85.41,85.95,3243898
2017-06-06,85.88,86.55,85.68,86.0,3627102
2017-06-07,86.37,86.46,85.84,85.98,3291880
2017-06-08,85.9,86.34,85.64,85.94,4159665
2017-06-09,85.85,86.64,85.75,86.51,4715137
2017-06-12,86.61,88.16,86.53,87.63,8823632
2017-06-13,87.58,88.2,87.12,87.2,4459803
2017-06-14,87.56,88.0,87.35,87.65,3509774
2017-06-15,87.33,87.98,87.14,87.66,2979917
2017-06-16,88.0,88.35,87.53,88.08,5436765
2017-06-19,88.08,89.07,88.04,88.99,3806584
2017-06-20,88.73,89.52,88.56,88.82,3535017
2017-06-21,88.97,89.14,88.57,88.79,3549356
2017-06-22,88.97,89.59,88.71,89.09,3549352
2017-06-23,89.44,89.5,88.89,89.2,6707093
2017-06-26,89.22,89.72,88.98,89.15,3491550
2017-06-27,89.15,89.43,88.79,88.79,3149612
2017-06-28,89.13,89.61,88.94,89.3,3339370
2017-06-29,89.38,89.39,88.12,88.71,2887953
2017-06-30,88.75,89.17,88.57,88.75,3827936
2017-07-03,88.8,89.2,88.75,88.81,2006736
2017-07-05,88.52,89.1,88.28,88.9,2892122
2017-07-06,88.7,88.98,87.26,87.26,3884944
2017-07-07,87.65,88.1,87.4,87.96,2918090
2017-07-10,87.86,88.0,87.05,87.2,3062125
2017-07-11,87.05,87.41,86.68,87.26,2792873
2017-07-12,87.75,88.25,87.4,87.81,2128409
2017-07-13,87.93,88.0,87.3,87.81,2306315
2017-07-14,87.81,88.82,87.66,88.57,2257794
2017-07-17,88.57,88.79,85.84,86.06,9555345
2017-07-18,86.0,86.43,85.78,85.85,5505674
2017-07-19,85.98,86.14,85.46,85.65,4596998
2017-07-20,85.91,86.09,85.5,85.67,4381530
2017-07-21,85.67,85.95,84.94,85.17,3523156
2017-07-24,85.21,85.31,84.71,85.09,4095993
2017-07-25,85.4,86.01,85.03,85.93,5256281
2017-07-26,85.82,86.28,85.39,85.74,3331550
2017-07-27,85.86,85.86,84.33,84.68,5244867
2017-07-28,84.57,84.81,84.17,84.29,4550821
2017-07-31,,,83.92,83.97,5452150
2017-08-01,84.11,84.38,83.49,83.52,5356057
2017-08-02,83.52,83.61,82.98,83.2,4909504
2017-08-03,82.96,83.49,82.83,83.29,5944272
2017-08-04,83.54,83.96,83.23,83.68,3414725
2017-08-07,83.77,84.55,83.7,84.37,3647613
2017-08-08,84.29,84.53,83.67,83.83,3825259
2017-08-09,83.75,84.02,83.51,83.95,3519268
2017-08-10,83.58,83.86,83.02,83.04,3495768
2017-08-11,83.32,84.24,83.09,83.71,4302167
2017-08-14,84.05,85.07,84.05,84.47,3346750
2017-08-15,84.58,85.01,84.42,84.59,2765989
2017-08-16,84.83,84.92,84.54,84.6,4376215
2017-08-17,84.48,84.85,83.64,83.67,3789022
2017-08-18,83.32,83.81,83.12,83.41,4440985
2017-08-21,83.33,84.02,82.94,83.52,4691489
2017-08-22,81.46,82.15,81.0,81.76,9382122
2017-08-23,81.32,81.57,79.45,79.75,8667498
2017-08-24,79.69,80.1,79.11,79.24,7364983
2017-08-25,79.42,79.85,79.03,79.06,4231172
2017-08-28,79.57,79.87,79.4,79.59,4900822
2017-08-29,79.36,79.9,79.02,79.72,4130854
2017-08-30,79.7,79.92,79.34,79.86,3725782
2017-08-31,80.0,80.72,79.8,80.62,5661945
2017-09-01,80.7,80.75,79.88,80.05,3133488
2017-09-05,79.88,80.4,79.57,79.82,3258813
2017-09-06,79.92,80.08,79.36,79.87,3784045
2017-09-07,79.92,80.28,79.71,79.95,3386960
2017-09-08,79.9,82.48,79.9,82.03,7881013
2017-09-11,82.25,82.5,81.19,81.56,5854120
2017-09-12,81.5,82.36,81.09,82.3,4073464
2017-09-13,82.13,82.45,81.7,81.93,4795089
2017-09-14,81.88,81.93,81.07,81.8,4461855
2017-09-15,81.63,82.14,81.38,82.12,9563374
2017-09-18,82.37,82.54,81.75,82.4,4162647
2017-09-19,82.65,82.74,81.13,81.19,5584776
2017-09-20,81.19,81.51,79.34,80.16,6384361
2017-09-21,80.14,80.55,79.5,79.53,4821970
2017-09-22,79.48,79.89,79.1,79.7,4593164
2017-09-25,79.49,79.59,77.9,78.27,7151269
2017-09-26,78.25,78.88,78.07,78.37,4791028
2017-09-27,78.67,78.87,77.45,77.84,4705214
2017-09-28,77.7,77.91,77.16,77.71,5536651
2017-09-29,77.66,78.01,77.55,77.77,6186201
2017-10-02,78.06,78.23,77.5,78.05,4280243
