Date,Open,High,Low,Close,Volume
2016-10-04,138.35,138.55,136.22,137.2,1179564
2016-10-05,139.41,142.1,137.92,140.8,1174647
2016-10-06,141.0,141.61,139.58,140.86,825911
2016-10-07,141.18,141.36,139.2,139.57,985737
2016-10-10,141.64,143.6,141.5,141.86,1724527
2016-10-11,141.45,141.56,138.75,140.08,1241774
2016-10-12,138.76,139.76,137.49,138.69,974948
2016-10-13,137.61,139.26,135.74,138.29,1226369
2016-10-14,139.66,140.29,136.4,136.7,1053222
2016-10-17,136.02,137.89,135.53,136.93,656197
2016-10-18,138.89,140.45,135.41,136.55,693363
2016-10-19,138.19,141.41,137.9,139.47,1193402
2016-10-20,137.85,140.39,137.09,139.49,1172648
2016-10-21,137.94,138.9,137.14,138.0,884660
2016-10-24,137.93,138.52,133.64,135.75,1481623
2016-10-25,135.51,137.97,132.98,133.07,1515139
2016-10-26,131.69,134.14,130.19,134.04,1260829
2016-10-27,134.94,135.35,133.24,133.65,980871
2016-10-28,133.5,135.32,128.95,129.13,1833318
2016-10-31,128.7,129.65,126.1,126.94,1486724
2016-11-01,128.07,129.44,126.25,128.6,1190748
2016-11-02,126.25,128.92,123.88,128.39,1720316
2016-11-03,129.07,129.95,125.1,129.04,2043896
2016-11-04,128.75,129.96,124.34,126.68,2186088
2016-11-07,129.33,131.18,127.76,131.1,2005336
2016-11-08,129.94,135.46,129.14,134.06,2341854
2016-11-09,133.34,137.99,130.03,132.68,3558445
2016-11-10,131.37,133.26,129.41,131.25,1408237
2016-11-11,130.23,131.38,125.22,126.89,1909531
2016-11-14,126.49,128.62,125.16,128.41,1557822
2016-11-15,130.48,134.12,130.19,133.59,1772357
2016-11-16,133.11,135.08,130.77,131.5,983335
2016-11-17,133.45,135.99,129.88,130.44,1207643
2016-11-18,131.12,131.97,129.33,130.05,1555254
2016-11-21,133.46,137.93,132.76,136.96,1699214
2016-11-22,137.66,138.87,136.05,138.54,1859440
2016-11-23,137.39,139.27,135.74,138.39,1052549
2016-11-25,137.19,138.2,133.71,134.26,689689
2016-11-28,135.83,135.91,129.2,129.5,1556302
2016-11-29,127.03,128.9,124.9,127.33,1895261
2016-11-30,135.92,143.66,135.88,143.02,3413646
2016-12-01,146.47,146.87,140.98,141.79,2345665
2016-12-02,141.75,143.62,140.21,142.6,1332843
2016-12-05,144.15,146.38,142.54,142.72,1573645
2016-12-06,141.21,143.78,140.22,143.25,1067486
2016-12-07,142.09,142.99,139.75,142.5,1611651
2016-12-08,143.82,144.53,140.08,142.78,1868989
2016-12-09,143.66,144.0,141.01,142.36,1251192
2016-12-12,146.62,147.55,139.6,140.84,2586644
2016-12-13,138.48,144.17,138.48,142.0,1597172
2016-12-14,140.15,142.87,137.25,137.71,1941930
2016-12-15,137.08,139.57,135.73,139.22,1548462
2016-12-16,139.12,139.34,136.77,138.25,2589990
2016-12-19,138.68,139.98,137.42,138.57,1209971
2016-12-20,138.9,139.45,136.48,136.84,1117169
2016-12-21,138.07,138.07,136.21,136.6,1051096
2016-12-22,136.85,138.5,135.53,136.49,1158595
2016-12-23,136.17,137.76,135.73,136.33,745317
2016-12-27,137.25,138.07,136.22,136.98,642116
2016-12-28,136.71,136.84,133.86,135.04,1018448
2016-12-29,135.06,135.47,133.32,134.14,853678
2016-12-30,134.22,135.37,131.93,132.6,1042992
2017-01-03,135.26,136.71,133.33,136.66,1476013
2017-01-04,136.28,136.89,134.5,135.67,1179725
2017-01-05,135.77,137.38,134.01,135.14,999755
2017-01-06,135.72,136.81,134.47,135.6,817162
2017-01-09,134.37,136.03,133.84,134.67,1213830
2017-01-10,134.82,135.6,133.39,133.69,1066204
2017-01-11,133.92,135.37,132.07,135.22,1243948
2017-01-12,136.65,137.48,133.81,134.39,1047692
2017-01-13,133.11,135.31,133.04,134.76,1257851
2017-01-17,136.63,138.01,133.98,135.42,1187216
2017-01-18,133.89,136.04,133.7,135.68,868265
2017-01-19,135.13,136.08,133.78,134.48,854149
2017-01-20,136.2,140.22,135.69,136.15,1651478
2017-01-23,135.13,137.43,135.13,135.99,1641934
2017-01-24,136.83,139.74,136.38,139.04,1406089
2017-01-25,141.65,144.87,141.05,143.12,1777356
2017-01-26,143.76,145.6,142.94,144.46,1264230
2017-01-27,143.45,144.73,142.68,144.04,1030058
2017-01-30,143.6,143.6,136.58,138.78,1999225
2017-01-31,139.1,139.53,137.92,139.44,1032279
2017-02-01,140.78,141.92,137.07,139.82,1113270
2017-02-02,139.76,140.52,137.27,140.05,998115
2017-02-03,140.05,143.22,139.92,142.7,1140553
