Date,Open,High,Low,Close,Volume
2016-10-04,151.47,151.62,149.49,150.48,2840515
2016-10-05,150.63,150.92,149.83,149.98,2377677
2016-10-06,150.23,150.64,149.0,149.47,2465730
2016-10-07,149.77,150.19,148.79,149.99,2282456
2016-10-10,150.35,150.85,149.75,150.28,1587748
2016-10-11,149.67,151.14,149.52,151.01,2596769
2016-10-12,150.97,151.49,150.39,150.46,1664505
2016-10-13,149.93,151.34,149.72,150.22,1795261
2016-10-14,150.18,151.0,149.28,150.15,1745010
2016-10-17,150.08,150.2,148.63,148.7,1988411
2016-10-18,149.51,149.62,148.41,149.11,1847783
2016-10-19,150.7,151.32,149.31,149.45,1812698
2016-10-20,149.85,150.78,149.6,150.04,2251749
2016-10-21,149.51,150.29,148.5,148.97,2188029
2016-10-24,149.35,152.32,149.29,152.12,2432848
2016-10-25,149.9,151.97,149.9,150.99,2060648
2016-10-26,150.35,151.41,150.28,150.98,2246137
2016-10-27,150.83,151.46,149.82,150.86,1993467
2016-10-28,150.44,150.86,149.38,149.76,1843867
2016-10-31,148.89,149.35,147.1,147.87,3239395
2016-11-01,148.48,148.63,146.38,146.66,2112003
2016-11-02,146.43,147.34,146.12,146.27,2260450
2016-11-03,146.7,146.7,144.14,144.45,2168211
2016-11-04,143.0,145.0,142.11,142.24,2702134
2016-11-07,143.38,143.66,142.75,143.54,3010110
2016-11-08,143.89,146.63,143.8,146.09,3506032
2016-11-09,143.54,147.39,143.54,146.79,3170343
2016-11-10,147.06,150.0,146.61,146.7,3944245
2016-11-11,146.61,149.62,145.38,149.36,3218641
2016-11-14,150.92,152.14,149.5,152.0,3891171
2016-11-15,151.98,152.0,150.29,151.15,2799914
2016-11-16,152.19,152.55,151.8,152.14,2152344
2016-11-17,151.23,151.4,149.55,151.2,2096766
2016-11-18,150.84,151.2,149.52,150.36,2020489
2016-11-21,150.55,151.29,150.12,151.17,1181701
2016-11-22,151.93,153.05,151.21,152.67,1954907
2016-11-23,152.75,153.34,151.18,151.6,2166990
2016-11-25,151.89,153.42,151.71,151.88,886780
2016-11-28,151.05,152.43,151.01,151.25,1733530
2016-11-29,151.62,152.22,151.33,151.48,1496879
2016-11-30,151.13,151.54,150.07,150.11,2750474
2016-12-01,150.11,152.88,150.11,151.74,2305596
2016-12-02,151.99,152.87,151.43,152.09,1829242
2016-12-05,152.09,152.22,150.78,151.77,2432110
2016-12-06,151.85,152.08,150.42,151.01,2245402
2016-12-07,150.6,153.91,150.48,153.85,2811286
2016-12-08,156.64,160.9,156.6,157.59,5504300
2016-12-09,157.28,159.83,157.26,159.7,2615294
2016-12-12,158.6,161.28,158.56,160.33,2299179
2016-12-13,160.85,162.04,159.14,159.77,3583322
2016-12-14,160.05,160.45,158.25,158.99,2119086
2016-12-15,159.35,161.5,159.07,160.11,1811162
2016-12-16,160.49,161.25,159.85,160.41,3767084
2016-12-19,162.01,164.53,161.65,163.46,3231875
2016-12-20,164.32,164.95,163.5,163.86,2204617
2016-12-21,163.6,164.03,163.02,163.04,1313424
2016-12-22,163.66,163.67,161.92,162.07,1965917
2016-12-23,162.17,162.67,161.53,162.08,1254371
2016-12-27,162.06,162.76,161.8,162.05,1301070
2016-12-28,162.02,162.85,160.55,161.01,1280986
2016-12-29,160.65,161.44,160.65,161.13,858206
2016-12-30,160.89,160.99,159.67,160.11,1472312
2017-01-03,160.65,160.99,158.51,159.73,2099205
2017-01-04,159.8,160.49,158.94,159.76,2163631
2017-01-05,160.95,163.35,160.63,162.91,2880900
2017-01-06,162.67,162.95,161.13,162.83,2167715
2017-01-09,162.33,162.48,160.72,160.97,2318383
2017-01-10,160.58,162.41,160.51,161.66,1477863
2017-01-11,161.47,162.38,160.35,161.54,1378330
2017-01-12,161.35,161.96,160.67,161.87,1297557
2017-01-13,161.99,162.13,161.35,161.86,1250214
2017-01-17,161.85,164.25,161.67,163.81,2430482
2017-01-18,163.65,164.38,162.59,164.27,1834736
2017-01-19,164.18,164.8,163.56,163.7,1980659
2017-01-20,164.39,164.77,163.23,164.24,1897120
2017-01-23,164.05,164.35,162.17,163.01,1421632
2017-01-24,163.23,163.82,162.96,163.67,1347570
2017-01-25,164.2,164.75,163.9,164.14,1299357
2017-01-26,164.34,164.44,163.4,164.07,1180784
2017-01-27,164.56,164.58,160.71,162.06,2341141
2017-01-30,162.03,163.29,160.6,163.25,2149765
2017-01-31,162.49,164.0,162.35,163.95,1796595
2017-02-01,163.84,163.95,161.81,161.86,2219682
2017-02-02,166.84,168.88,166.16,168.15,5816346
2017-02-03,167.72,168.84,167.15,168.32,3227690
2017-02-06,168.18,168.18,166.71,167.03,2172824
2017-02-07,167.53,168.08,166.53,167.52,2732596
2017-02-08,167.5,168.57,167.5,168.42,2089921
2017-02-09,168.45,171.42,168.17,170.96,2606898
2017-02-10,171.65,172.27,170.27,172.0,2070000
2017-02-13,172.49,172.49,170.78,171.96,2272213
2017-02-14,171.66,173.64,171.55,173.63,2245114
2017-02-15,173.18,175.0,173.06,175.0,2346540
2017-02-16,175.1,175.83,174.5,175.75,2206751
2017-02-17,175.47,176.5,174.48,175.86,2425236
2017-02-21,176.55,177.0,176.0,176.94,2317024
2017-02-22,177.07,177.09,175.07,176.51,1815426
2017-02-23,176.52,177.04,175.21,175.85,2600432
2017-02-24,175.22,177.71,175.12,177.56,1684258
2017-02-27,177.33,177.85,176.55,177.62,2340564
2017-02-28,176.95,177.87,175.48,177.18,2992097
2017-03-01,177.37,178.71,177.22,177.86,2352299
2017-03-02,177.5,178.25,176.51,177.98,3190310
2017-03-03,170.7,171.89,169.9,170.26,10399047
2017-03-06,169.41,170.33,166.11,166.73,5793596
2017-03-07,166.54,168.62,166.54,167.0,2811856
2017-03-08,167.0,167.41,166.16,166.24,2375904
2017-03-09,166.4,166.79,165.12,165.77,1993723
2017-03-10,166.49,166.5,164.98,165.37,2164241
2017-03-13,164.85,165.11,164.3,164.55,2127879
2017-03-14,164.21,165.32,164.1,165.24,1974401
2017-03-15,165.57,166.54,164.83,166.54,2079730
2017-03-16,166.78,167.67,166.26,167.06,2726624
2017-03-17,168.06,168.35,167.07,167.81,3975994
2017-03-20,167.76,168.29,166.8,167.44,1603258
2017-03-21,167.51,168.8,166.65,166.78,2241868
2017-03-22,167.32,167.97,167.04,167.68,1534161
2017-03-23,168.0,168.42,166.43,166.9,1430521
2017-03-24,167.37,167.46,165.66,166.02,1410390
2017-03-27,165.53,166.32,165.32,166.15,1212535
2017-03-28,166.11,167.05,165.15,166.77,1446649
2017-03-29,166.28,167.48,166.15,167.43,1216734
2017-03-30,167.3,168.18,166.76,167.89,1034268
2017-03-31,167.59,168.16,167.13,167.69,1720611
2017-04-03,167.74,168.3,166.4,166.7,1547889
2017-04-04,166.6,167.32,166.11,167.25,1322382
2017-04-05,167.29,168.4,166.72,167.0,1715970
2017-04-06,169.68,172.11,169.31,170.02,3313816
2017-04-07,169.7,171.0,169.43,170.62,1510009
2017-04-10,170.2,171.57,169.85,171.22,2002257
2017-04-11,170.79,171.44,169.63,170.63,1191415
2017-04-12,171.43,171.45,169.69,170.17,1422322
2017-04-13,170.05,170.62,168.8,168.84,1422469
2017-04-17,168.77,169.75,168.71,169.7,1504237
2017-04-18,170.05,170.32,169.47,170.13,1542663
2017-04-19,170.88,170.93,169.82,170.06,1441284
2017-04-20,170.33,171.18,169.95,170.15,1933622
2017-04-21,171.52,171.88,170.64,170.77,2257925
2017-04-24,172.0,172.61,171.33,172.33,1906902
2017-04-25,172.91,173.04,172.29,172.68,1503041
2017-04-26,178.05,178.27,175.42,176.8,4591294
2017-04-27,177.32,177.79,176.42,177.45,2148728
2017-04-28,178.07,178.07,176.93,177.52,2364453
2017-05-01,178.5,178.5,177.33,177.86,3327999
2017-05-02,178.72,178.94,177.94,178.59,2505281
2017-05-03,178.74,180.46,178.7,179.82,2900509
2017-05-04,180.05,183.18,180.0,182.45,3762176
2017-05-05,182.77,182.92,179.76,180.2,3713637
2017-05-08,174.66,174.7,171.6,172.64,3537972
2017-05-09,173.61,173.92,172.31,172.68,2662097
2017-05-10,172.03,172.08,170.66,171.35,2554451
2017-05-11,170.78,171.55,170.1,171.26,2106222
2017-05-12,171.29,171.85,170.32,170.88,1586827
2017-05-15,170.3,171.98,170.3,171.57,1734244
2017-05-16,171.96,171.96,170.63,171.0,1129191
2017-05-17,170.66,171.5,169.06,169.15,2202200
2017-05-18,170.08,171.02,169.69,170.72,1589679
2017-05-19,171.35,172.43,170.81,171.64,1871760
2017-05-22,172.24,173.24,171.63,172.4,1594088
2017-05-23,172.97,173.54,172.32,172.47,1788090
2017-05-24,172.95,173.13,171.8,173.01,1426542
2017-05-25,173.47,175.05,173.3,174.73,2726932
2017-05-26,180.25,180.34,177.52,177.86,4471282
2017-05-30,177.68,179.39,177.5,178.92,2086293
