Date,Open,High,Low,Close,Volume
2016-10-04,103.8,104.08,101.8,102.05,1560626
2016-10-05,102.3,102.73,101.55,101.58,912363
2016-10-06,101.4,102.36,101.22,102.19,1078775
2016-10-07,97.19,97.5,92.51,93.73,7136802
2016-10-10,94.31,94.99,93.22,93.85,3251573
2016-10-11,93.25,93.25,91.51,92.3,4157688
2016-10-12,92.39,92.56,91.43,91.94,2171212
2016-10-13,91.01,92.36,90.31,92.12,2603365
2016-10-14,92.75,93.11,92.55,92.6,2453246
2016-10-17,92.6,92.88,92.24,92.66,1918790
2016-10-18,93.75,93.83,92.79,92.81,1317470
2016-10-19,92.82,93.18,92.16,92.56,2166432
2016-10-20,92.69,94.47,92.51,92.66,2411418
2016-10-21,91.42,92.59,90.48,92.38,2366992
2016-10-24,92.75,93.51,92.7,93.24,2011073
2016-10-25,90.55,92.06,89.64,91.22,4338508
2016-10-26,91.01,92.62,91.01,92.52,2515849
2016-10-27,93.03,93.63,92.74,93.35,2291233
2016-10-28,93.44,94.53,92.27,92.87,2062332
2016-10-31,93.35,93.44,92.81,93.13,2172977
2016-11-01,93.25,93.59,91.75,92.74,2224383
2016-11-02,92.85,93.99,92.37,92.38,2227472
2016-11-03,92.76,93.14,91.66,91.75,1647574
2016-11-04,92.02,93.66,91.54,92.81,1528583
2016-11-07,94.16,94.42,93.57,94.35,2066789
2016-11-08,93.83,95.19,93.5,94.74,1692133
2016-11-09,92.36,95.97,90.88,95.29,3225509
2016-11-10,95.91,98.21,95.78,96.87,2826797
2016-11-11,96.32,97.27,95.49,95.77,2013836
2016-11-14,96.4,96.85,95.13,96.05,2002259
2016-11-15,96.1,96.54,95.51,96.23,1778804
2016-11-16,95.96,96.57,95.86,96.36,1636390
2016-11-17,96.77,96.83,96.1,96.61,1118735
2016-11-18,96.23,96.23,95.12,95.19,1276934
2016-11-21,95.56,96.33,95.31,96.19,1807111
2016-11-22,96.45,96.71,96.03,96.62,1513562
2016-11-23,96.59,97.69,96.36,97.59,1286678
2016-11-25,97.63,98.13,97.35,98.13,482559
2016-11-28,97.92,97.95,96.77,97.35,1251211
2016-11-29,97.35,98.45,96.92,98.0,1467938
2016-11-30,98.46,98.69,95.83,95.93,2704322
2016-12-01,96.42,96.8,94.85,95.24,2444082
2016-12-02,95.29,95.5,94.15,94.58,2085220
2016-12-05,95.36,96.99,95.23,95.99,1634607
2016-12-06,95.98,96.36,95.52,96.22,1358018
2016-12-07,96.31,98.21,96.21,98.18,1581683
2016-12-08,98.18,99.67,97.88,99.41,1494158
2016-12-09,99.48,100.17,98.92,99.3,1355202
2016-12-12,99.07,99.85,97.76,98.65,1528911
2016-12-13,98.13,98.39,96.65,97.05,2145238
2016-12-14,97.07,97.88,95.91,96.17,1576813
2016-12-15,96.2,97.12,95.63,96.1,1684597
2016-12-16,96.07,96.7,95.78,95.92,2050117
2016-12-19,96.06,96.87,95.97,96.22,1473441
2016-12-20,96.26,96.4,95.56,95.64,1418568
2016-12-21,95.39,96.2,95.05,95.87,1189982
2016-12-22,95.94,95.99,94.93,95.0,1177536
2016-12-23,95.04,95.04,93.8,94.69,1816187
2016-12-27,95.05,95.93,94.88,95.85,1200265
2016-12-28,96.34,96.47,94.59,94.67,1155146
2016-12-29,94.7,95.32,94.67,95.31,1150148
2016-12-30,95.43,95.5,94.46,94.76,1248654
2017-01-03,95.43,95.97,94.57,95.25,1358064
2017-01-04,95.71,97.52,95.63,97.27,1334473
2017-01-05,96.46,96.62,95.4,95.62,1661879
2017-01-06,95.77,96.14,95.29,95.59,1379830
2017-01-09,95.05,96.46,94.77,96.35,1454135
2017-01-10,96.07,96.65,95.66,96.39,1418749
2017-01-11,96.25,96.67,95.58,96.63,1169855
2017-01-12,96.45,96.98,95.8,96.87,1027233
2017-01-13,96.83,97.1,96.17,96.32,1237908
2017-01-17,95.79,96.08,94.62,95.97,2251585
2017-01-18,95.97,96.85,95.66,96.69,2144600
2017-01-19,97.84,98.98,96.0,97.5,3378025
2017-01-20,98.03,99.82,97.87,99.0,2805545
2017-01-23,98.74,100.31,98.7,100.24,2340664
2017-01-24,100.74,102.55,100.44,101.8,2264397
2017-01-25,102.2,102.28,100.88,101.08,2107450
2017-01-26,101.64,102.0,100.76,101.85,1591702
2017-01-27,101.69,102.12,101.22,102.02,1333600
2017-01-30,102.15,102.15,100.44,102.03,1996094
2017-01-31,101.72,101.86,99.29,100.01,2571536
2017-02-01,99.65,100.76,99.0,100.56,1643610
2017-02-02,100.51,101.08,100.04,100.58,1971552
2017-02-03,101.11,101.15,100.42,100.94,921564
2017-02-06,100.32,100.99,99.55,99.92,1605982
2017-02-07,100.04,100.82,99.77,100.01,1084109
2017-02-08,100.08,100.27,99.57,100.1,1029155
