Date,Open,High,Low,Close,Volume
2016-10-04,44.71,44.76,43.64,43.97,1621530
2016-10-05,44.16,44.27,42.17,42.23,2959787
2016-10-06,41.94,42.54,41.39,42.01,2380566
2016-10-07,42.3,42.65,41.79,41.96,1343255
2016-10-10,42.01,42.57,41.94,42.36,1073277
2016-10-11,42.36,42.72,42.2,42.28,2269599
2016-10-12,42.37,42.96,42.28,42.68,1860834
2016-10-13,42.49,43.33,42.25,43.11,1338538
2016-10-14,43.07,43.43,42.68,42.79,1273528
2016-10-17,42.92,43.31,42.79,43.09,742108
2016-10-18,43.52,43.56,42.89,42.93,748193
2016-10-19,42.9,43.38,42.8,43.33,746285
2016-10-20,42.9,43.45,42.73,43.34,1487426
2016-10-21,42.99,43.54,42.92,43.38,981290
2016-10-24,43.63,44.03,42.94,43.0,994907
2016-10-25,42.72,43.08,42.37,42.92,1417071
2016-10-26,42.61,43.24,42.07,43.13,1198920
2016-10-27,43.04,43.21,41.74,42.11,1187568
2016-10-28,42.86,43.72,42.47,42.85,1964653
2016-10-31,43.34,44.3,43.11,44.07,1889062
2016-11-01,43.99,44.34,43.3,43.63,1618880
2016-11-02,43.75,44.33,43.69,43.93,1787301
2016-11-03,43.94,44.4,43.73,43.75,1186704
2016-11-04,43.99,44.57,43.75,44.33,1121312
2016-11-07,44.91,44.91,43.95,44.2,1315642
2016-11-08,44.36,45.02,44.05,44.86,1008970
2016-11-09,43.92,44.22,41.92,43.53,1401750
2016-11-10,43.41,43.61,41.98,42.28,1845507
2016-11-11,42.38,43.01,41.8,41.97,2414339
2016-11-14,41.91,43.23,40.95,42.8,3569563
2016-11-15,42.96,42.96,40.61,41.03,3796388
2016-11-16,40.74,41.15,40.41,40.76,1359150
2016-11-17,40.72,41.01,40.33,40.4,1344275
2016-11-18,40.38,40.5,39.8,40.45,1944915
2016-11-21,40.56,40.89,39.82,39.88,1554431
2016-11-22,40.01,40.69,39.66,40.66,1507666
2016-11-23,40.34,40.67,40.02,40.64,1214024
2016-11-25,40.79,41.4,40.65,41.06,514093
2016-11-28,41.01,41.85,41.01,41.7,1428417
2016-11-29,41.81,42.4,41.8,42.05,1655443
2016-11-30,41.42,42.32,40.9,42.1,1998654
2016-12-01,42.08,42.08,41.08,41.36,1487924
2016-12-02,41.6,42.38,41.39,41.77,1324026
2016-12-05,41.75,42.09,41.43,41.9,1058729
2016-12-06,41.99,42.44,41.7,41.77,1409169
2016-12-07,41.86,42.38,41.65,42.35,1044219
2016-12-08,42.14,42.92,41.92,42.6,764142
2016-12-09,42.59,43.04,42.23,42.31,901879
2016-12-12,42.23,42.56,42.06,42.41,1536103
2016-12-13,42.69,43.05,42.12,42.75,1168763
2016-12-14,42.76,43.06,42.14,42.63,1628480
2016-12-15,42.52,43.84,42.3,43.18,1916600
2016-12-16,43.59,44.51,43.57,44.17,3025555
2016-12-19,44.45,44.75,44.1,44.57,1496623
2016-12-20,44.5,45.04,44.46,44.84,1194970
2016-12-21,44.86,45.27,43.78,43.97,1662142
2016-12-22,43.9,44.56,43.3,44.55,1117489
2016-12-23,44.53,44.91,44.48,44.74,796692
2016-12-27,44.72,44.94,44.24,44.31,1312749
2016-12-28,44.36,44.45,44.0,44.23,817718
2016-12-29,44.36,44.84,44.25,44.7,653339
2016-12-30,44.73,45.58,44.41,45.45,1384489
2017-01-03,45.69,45.73,44.67,44.94,770137
2017-01-04,45.1,45.52,44.8,45.36,1089447
2017-01-05,45.1,45.65,44.65,45.45,833368
2017-01-06,45.3,45.56,44.98,45.45,1299301
2017-01-09,45.54,45.61,44.92,44.96,697735
2017-01-10,44.87,44.98,44.24,44.25,1241996
2017-01-11,44.24,44.42,43.93,43.97,1197993
2017-01-12,43.64,44.3,43.35,44.22,855098
2017-01-13,44.08,44.41,43.97,44.18,449046
2017-01-17,44.3,44.65,44.2,44.52,1220470
2017-01-18,44.59,44.83,44.34,44.46,677674
2017-01-19,44.21,44.34,43.95,44.04,633150
2017-01-20,44.16,44.78,44.06,44.76,1108592
2017-01-23,44.72,45.17,44.6,45.16,983599
2017-01-24,45.1,45.43,44.94,45.3,1340047
2017-01-25,45.23,45.23,44.49,44.5,906958
2017-01-26,44.56,44.8,44.24,44.46,577305
2017-01-27,44.62,44.64,43.97,44.3,774083
2017-01-30,44.37,44.42,43.84,43.88,1066256
2017-01-31,44.01,44.47,43.92,44.07,738677
2017-02-01,43.85,44.26,43.19,43.23,786531
2017-02-02,43.33,44.41,43.27,44.29,1465722
2017-02-03,45.21,45.89,44.36,44.44,1447135
2017-02-06,44.4,44.56,43.85,44.26,968372
2017-02-07,44.32,44.85,44.06,44.69,837175
2017-02-08,44.89,45.58,44.61,45.3,1568111
2017-02-09,45.13,45.37,44.73,45.12,1079558
2017-02-10,44.98,45.77,44.91,45.72,713422
2017-02-13,45.72,45.86,44.95,45.52,748942
